英文,中文,类别,模块
First-Class Mail International Postcard,First-Class邮件国际明信片,module,Magento_Usps
Priority Mail International Legal Flat Rate Envelope,优先邮件国际法律扁平率信封,module,Magento_Usps
Priority Mail International Padded Flat Rate Envelope,优先邮件国际软垫的扁平率信封,module,Magento_Usps
Priority Mail International DVD Flat Rate priced box,优先邮件国际 DVD 扁平率定价框,module,Magento_Usps
Priority Mail International Large Video Flat Rate priced box,优先邮件国际大型视频扁平率定价框,module,Magento_Usps
Priority Mail Express International Padded Flat Rate Envelope,优先邮件表达国际软垫的扁平率信封,module,Magento_Usps
Letter,信,module,Magento_Usps
Flat,单位,module,Magento_Usps
Parcel,包裹,module,Magento_Usps
Variable,变量,module,Magento_Usps
Flat-Rate Box,Flat-Rate箱子,module,Magento_Usps
Flat-Rate Envelope,Flat-Rate信封,module,Magento_Usps
Rectangular,矩形,module,Magento_Usps
Non-rectangular,非矩形,module,Magento_Usps
Regular,定期的,module,Magento_Usps
Large,大,module,Magento_Usps
Yes,是,module,Magento_Usps
No,否,module,Magento_Usps
Not Required,不需求,module,Magento_Usps
Required,必填,module,Magento_Usps
For some reason we can't retrieve tracking info right now.,因为某些原因，我们现在不能检索跟踪信息。,module,Magento_Usps
"Sorry, something went wrong. Please try again or contact us and we'll try to help.",对不起，出了一些错。请再试一次或联系我们，我们会尽力帮助。,module,Magento_Usps
track_summary,曲目。,module,Magento_Usps
Empty response,空白的响应,module,Magento_Usps
Service type does not match,服务类型不匹配,module,Magento_Usps
Merchandise,商品,module,Magento_Usps
Sample,示例,module,Magento_Usps
Gift,礼物,module,Magento_Usps
Documents,文件,module,Magento_Usps
Return,退货,module,Magento_Usps
Other,其他???,module,Magento_Usps
None,无,module,Magento_Usps
Field,字段,module,Magento_Usps
is required.,是必须的。,module,Magento_Usps
USPS,美国邮政,module,Magento_Usps
Enabled for Checkout,启用结帐,module,Magento_Usps
Gateway URL,网关网址,module,Magento_Usps
Secure Gateway URL,安全网关网址,module,Magento_Usps
Title,标题,module,Magento_Usps
User ID,用户 ID,module,Magento_Usps
Password,密码,module,Magento_Usps
Mode,模式,module,Magento_Usps
Packages Request Type,包装要求类型,module,Magento_Usps
Container,货箱,module,Magento_Usps
Size,尺寸,module,Magento_Usps
Width,宽度,module,Magento_Usps
Length,长度,module,Magento_Usps
Height,高度,module,Magento_Usps
Girth,周长,module,Magento_Usps
Machinable,可加工,module,Magento_Usps
Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight),最大包装重量（请参阅您的装运承运人的最大支持装运重量）,module,Magento_Usps
Calculate Handling Fee,计算手续费,module,Magento_Usps
Handling Applied,处理应用,module,Magento_Usps
Handling Fee,手续费,module,Magento_Usps
Allowed Methods,允许方法,module,Magento_Usps
Free Method,免费方式,module,Magento_Usps
Enable Free Shipping Threshold,启用免费送货上门,module,Magento_Usps
Free Shipping Amount Threshold,免费送货金额门槛,module,Magento_Usps
Displayed Error Message,显示错误信息,module,Magento_Usps
Ship to Applicable Countries,发货到适用国家,module,Magento_Usps
Ship to Specific Countries,发货到指定国家,module,Magento_Usps
Debug,调试,module,Magento_Usps
Show Method if Not Applicable,显示不适用的方法,module,Magento_Usps
Sort Order,排序订单,module,Magento_Usps
Custom Variables,自定义变量,module,Magento_Variable
Add New Variable,添加新变量,module,Magento_Variable
Save and Continue Edit,保存并继续编辑,module,Magento_Variable
"Custom Variable ""%1""","自定义变量 ""%1""",module,Magento_Variable
New Custom Variable,新的自定义变量,module,Magento_Variable
Variable,变量,module,Magento_Variable
Variable Code,变量代码,module,Magento_Variable
Variable Name,变量名称,module,Magento_Variable
Use Default Variable Values,使用变量的默认值,module,Magento_Variable
No,否,module,Magento_Variable
Yes,是,module,Magento_Variable
Variable HTML Value,HTML变量值,module,Magento_Variable
Variable Plain Value,普通的变量值,module,Magento_Variable
You deleted the custom variable.,您删除自定义的变量。,module,Magento_Variable
You saved the custom variable.,您保存的自定义的变量。,module,Magento_Variable
Variable Code must be unique.,变量代码必须是唯一的。,module,Magento_Variable
Validation has failed.,验证失败。,module,Magento_Variable
%1,%1,module,Magento_Variable
Insert Variable...,插入变量...,module,Magento_Variable
Variable ID,可变的 ID,module,Magento_Variable
Name,名字,module,Magento_Variable
No token found.,没有找到令牌。,module,Magento_Vault
Wrong request.,错误的请求。,module,Magento_Vault
Deletion failure. Please try again.,删除失败。请再试一次。,module,Magento_Vault
Credit Card was successfully removed,信用卡已成功移除,module,Magento_Vault
My Credit Cards,我的信用卡,module,Magento_Vault
Card Number,卡号,module,Magento_Vault
Expiration Date,到期日期,module,Magento_Vault
Type,类型,module,Magento_Vault
You have no credit cards.,您没有信用卡。,module,Magento_Vault
ending,结束,module,Magento_Vault
Actions,操作,module,Magento_Vault
Delete,删除,module,Magento_Vault
Cancel,取消,module,Magento_Vault
Delete Current Hierarchy,删除当前等级,module,Magento_VersionsCms
Copy,复制,module,Magento_VersionsCms
Pages Hierarchy,网页等级,module,Magento_VersionsCms
Page Properties,页面属性,module,Magento_VersionsCms
Title,标题,module,Magento_VersionsCms
URL Key,URL Key,module,Magento_VersionsCms
Preview,预览,module,Magento_VersionsCms
Preview is not available.,预览不可用。,module,Magento_VersionsCms
Render Metadata in HTML Head.,在HTML头呈现的元数据。,module,Magento_VersionsCms
First,首先,module,Magento_VersionsCms
Next/Previous,下一页/上一页,module,Magento_VersionsCms
Enable Chapter/Section,启用章/节,module,Magento_VersionsCms
"Enables Chapter/Section functionality for this node, its sub-nodes and pages",启用章/节的功能此节点，子节点和页面,module,Magento_VersionsCms
Chapter/Section,章/节,module,Magento_VersionsCms
Defines this node as Chapter/Section,定义此节点章/节,module,Magento_VersionsCms
Pagination Options for Nested Pages,嵌套页面分页选项,module,Magento_VersionsCms
Enable Pagination,启用分页,module,Magento_VersionsCms
Frame,帧,module,Magento_VersionsCms
Set the number of links to display at one time.,设置的链接的数量在一次显示。,module,Magento_VersionsCms
Frame Skip,跳帧,module,Magento_VersionsCms
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value",如果当前帧的位置不包括鼎立页，将呈现链接到当前位置加/减该值,module,Magento_VersionsCms
Page Navigation Menu Options,页面导航菜单选项,module,Magento_VersionsCms
Exclude from Navigation Menu,从导航菜单中排除,module,Magento_VersionsCms
Show in navigation menu.,在显示导航菜单。,module,Magento_VersionsCms
Menu Layout,菜单布局,module,Magento_VersionsCms
Only Children,只有儿童,module,Magento_VersionsCms
Neighbours and Children,邻居和儿童,module,Magento_VersionsCms
Menu Detalization,菜单Detalization,module,Magento_VersionsCms
Maximal Depth,最大深度,module,Magento_VersionsCms
Node Levels to Include,节点级别以包括,module,Magento_VersionsCms
List Type,列表类型,module,Magento_VersionsCms
List Style,列表样式,module,Magento_VersionsCms
Main Navigation Menu Options,主导航菜单选项,module,Magento_VersionsCms
Add selected page(s) to the tree,选定的页面添加到树,module,Magento_VersionsCms
Remove from tree.,从树中删除。,module,Magento_VersionsCms
Cancel,取消,module,Magento_VersionsCms
Save,保存,module,Magento_VersionsCms
Add Node...,添加节点...,module,Magento_VersionsCms
Add to tree.,添加到树上。,module,Magento_VersionsCms
Update,更新,module,Magento_VersionsCms
Node Properties,节点属性,module,Magento_VersionsCms
Page ID,页ID,module,Magento_VersionsCms
Manage Hierarchies,管理层次结构,module,Magento_VersionsCms
Hierarchy,等级制度,module,Magento_VersionsCms
Home,首页,module,Magento_VersionsCms
Go to Home Page,前往主页,module,Magento_VersionsCms
You copied the pages hierarchy to the selected scopes.,复制层次结构到所选范围的页面。,module,Magento_VersionsCms
Something went wrong while copying the hierarchy.,在复制的层级出事了。,module,Magento_VersionsCms
Please correct the scope.,请更正范围。,module,Magento_VersionsCms
You deleted the pages hierarchy from the selected scopes.,你删除从选定的范围的层次结构的页面。,module,Magento_VersionsCms
Something went wrong while deleting the hierarchy.,在删除层次结构出了错。,module,Magento_VersionsCms
CMS,CMS,module,Magento_VersionsCms
CMS Page Trees,CMS页面树,module,Magento_VersionsCms
You have saved the hierarchy.,您已保存的层次结构。,module,Magento_VersionsCms
Something went wrong while saving the hierarchy.,同时节省层次出事了。,module,Magento_VersionsCms
Manage Pages,管理页面,module,Magento_VersionsCms
Private,私人的,module,Magento_VersionsCms
Protected,受保护,module,Magento_VersionsCms
Public,上市,module,Magento_VersionsCms
Delete Multiple Hierarchies,删除多个层次结构,module,Magento_VersionsCms
Please correct the node data.,请更正节点的数据。,module,Magento_VersionsCms
"CMS Node with id ""%1"" does not exist.","CMS节点ID为""%1""，不存在。",module,Magento_VersionsCms
Tree Viewed,看树,module,Magento_VersionsCms
No,否,module,Magento_VersionsCms
Chapter,章节,module,Magento_VersionsCms
Section,部分,module,Magento_VersionsCms
Both,都,module,Magento_VersionsCms
Use default,使用默认,module,Magento_VersionsCms
Default,默认,module,Magento_VersionsCms
"Numbers (1, 2, 3, ...)",数字（1，2，3，...）,module,Magento_VersionsCms
"Lower Alpha (a, b, c, ...)","小写阿尔法 (a, b, c, ...)",module,Magento_VersionsCms
"Upper Alpha (A, B, C, ...)","大写阿尔法 (A, B, C, ...)",module,Magento_VersionsCms
"Lower Roman (i, ii, iii, ...)",小写罗马（I，II，III，...）,module,Magento_VersionsCms
"Upper Roman (I, II, III, ...)",大写罗马（I，II，III，...）,module,Magento_VersionsCms
Circle,圈,module,Magento_VersionsCms
Disc,圆盘,module,Magento_VersionsCms
Square,广场,module,Magento_VersionsCms
Unordered,无序,module,Magento_VersionsCms
Ordered,已订购,module,Magento_VersionsCms
Use Parent,使用父,module,Magento_VersionsCms
Yes,是,module,Magento_VersionsCms
Use the parent node hierarchy.,使用父节点层次结构。,module,Magento_VersionsCms
Are you sure you want to delete current hierarchy?,你确定要删除当前层次？,module,Magento_VersionsCms
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.",“此页无法添加，因为一个节点或页面相同的URL键入此树的一部分已经存在。”,module,Magento_VersionsCms
There are unsaved node data. Are you sure you want to continue?,有未保存的节点数据。你确定要继续吗？,module,Magento_VersionsCms
This URL key is already in use.,此URL密钥已被使用。,module,Magento_VersionsCms
CMS Pages,CMS网页,module,Magento_VersionsCms
Please select a website or store view.,请选择一个网站或商店视图。,module,Magento_VersionsCms
Are you sure you want to copy the current hierarchy to the selected destinations?,你确定要在当前层级复制到选定的目的地？,module,Magento_VersionsCms
Are you sure you want to delete the selected hierarchies?,你确定要删除所选的层次？,module,Magento_VersionsCms
Delete,删除,module,Magento_VersionsCms
Please select one or more hierarchies to delete.,请选择一个或多个层次进行删除。,module,Magento_VersionsCms
Please assign the current hierarchy to one or more destinations.,请当前层次分配给一个或多个目的地。,module,Magento_VersionsCms
Root,根,module,Magento_VersionsCms
No nodes are available,没有节点可,module,Magento_VersionsCms
Single Hierarchy for All Store Views,对于所有的商店浏览单层次,module,Magento_VersionsCms
Specific Hierarchy for Each Store View,每个商店查看特定层次,module,Magento_VersionsCms
CMS Hierarchy for,CMS层次结构,module,Magento_VersionsCms
Anchor Custom Text,自定义文本锚点,module,Magento_VersionsCms
"If this value is empty, the node or page name will be used.",如果这个值是空的，将被使用的节点或页面名称。,module,Magento_VersionsCms
Anchor Custom Title,自定义标题锚点,module,Magento_VersionsCms
Node,节点,module,Magento_VersionsCms
Not Selected,非所选,module,Magento_VersionsCms
Select a page or node.,选择页面或节点。,module,Magento_VersionsCms
Parent page,父页面,module,Magento_VersionsCms
Website Root,网站根目录,module,Magento_VersionsCms
Page:,页：,module,Magento_VersionsCms
Page,页面,module,Magento_VersionsCms
Previous,上一个,module,Magento_VersionsCms
You're currently reading page,您阅读的当前页,module,Magento_VersionsCms
Next,下一个,module,Magento_VersionsCms
Delete Revision and Version,删除修订和版本,module,Magento_VersionsCms
Publish Revision,修订发布,module,Magento_VersionsCms
Pages,页面,module,Magento_VersionsCms
CMS Page Hierarchy,CMS页面层次结构,module,Magento_VersionsCms
Enable Hierarchy Functionality,启用阶层功能,module,Magento_VersionsCms
Enable Hierarchy Metadata,启用阶层元,module,Magento_VersionsCms
Default Layout for Hierarchy Menu,默认布局层次菜单,module,Magento_VersionsCms
CMS Hierarchy,CMS层次,module,Magento_VersionsCms
CMS Hierarchy Node Link,CMS层次结构节点链接,module,Magento_VersionsCms
Link to Specified CMS Hierarchy Node,链接到指定的CMS层次结构节点,module,Magento_VersionsCms
Template,模板,module,Magento_VersionsCms
CMS Page Link Block Template,CMS页面链接块模板,module,Magento_VersionsCms
CMS Page Link Inline Template,CMS页面链接内联摸板,module,Magento_VersionsCms
All Store Views,所有商店界面,module,Magento_VersionsCms
Search All Products,搜索所有产品,module,Magento_VisualMerchandiser
Add Product by SKU,通过SKU添加产品,module,Magento_VisualMerchandiser
Position,位置,module,Magento_VisualMerchandiser
Action,操作,module,Magento_VisualMerchandiser
Unassign,撤销分配,module,Magento_VisualMerchandiser
Top,最佳,module,Magento_VisualMerchandiser
Bottom,底部,module,Magento_VisualMerchandiser
Choose a selection...,选择一个选项…,module,Magento_VisualMerchandiser
Page not found.,找不到网页。,module,Magento_VisualMerchandiser
No SKU entered,没有进入SKU,module,Magento_VisualMerchandiser
Undefined Action,未定义操作,module,Magento_VisualMerchandiser
Products with the following SKUs do not exist: %s,不存在与以下的SKU产品：%s的,module,Magento_VisualMerchandiser
%s SKU(s) processed successfully,%s的SKU成功处理,module,Magento_VisualMerchandiser
On Top,在上面,module,Magento_VisualMerchandiser
On Bottom,在底部,module,Magento_VisualMerchandiser
Category rules validation failed,分类规则验证失败,module,Magento_VisualMerchandiser
Clone category ID(s),克隆类ID,module,Magento_VisualMerchandiser
Date Created (days ago),创建日期（天前）,module,Magento_VisualMerchandiser
Date Modified (days ago),修改日期（天前）,module,Magento_VisualMerchandiser
Error in reading category rules,错误在阅读类别规则,module,Magento_VisualMerchandiser
There was no category rules to apply,有没有申请类别规则,module,Magento_VisualMerchandiser
Category rules applied,应用分类规则,module,Magento_VisualMerchandiser
Equal,等于,module,Magento_VisualMerchandiser
Not equal,不平等,module,Magento_VisualMerchandiser
Greater than,大于,module,Magento_VisualMerchandiser
Greater than or equal to,大于或等于,module,Magento_VisualMerchandiser
Less than,小于,module,Magento_VisualMerchandiser
Less than or equal to,小于或等于,module,Magento_VisualMerchandiser
Contains,包含,module,Magento_VisualMerchandiser
Error in yes/no format,错误是/否格式,module,Magento_VisualMerchandiser
Category ID '%1' not found,没有找到类别ID'%1',module,Magento_VisualMerchandiser
%1 doesn't implement SortInterface,%1没有实现SortInterface,module,Magento_VisualMerchandiser
Move low stock to top,移动库存偏低顶部,module,Magento_VisualMerchandiser
Name: A - Z,名称：A - Z,module,Magento_VisualMerchandiser
Name: Z - A,名称：Z - A,module,Magento_VisualMerchandiser
Newest products first,最新产品第一,module,Magento_VisualMerchandiser
Move out of stock to bottom,移动断货上下,module,Magento_VisualMerchandiser
Price: High to low,价格：高至低,module,Magento_VisualMerchandiser
Price: Low to high,价格：从低到高,module,Magento_VisualMerchandiser
SKU: Ascending,SKU：升序,module,Magento_VisualMerchandiser
SKU: Descending,SKU：降序,module,Magento_VisualMerchandiser
Sort by color,按颜色,module,Magento_VisualMerchandiser
Special price to bottom,特价上下,module,Magento_VisualMerchandiser
Special price to top,特价顶部,module,Magento_VisualMerchandiser
None,无,module,Magento_VisualMerchandiser
"Enter SKUs below, one per line",在下面输入的SKU，每行一个,module,Magento_VisualMerchandiser
Assign,指定,module,Magento_VisualMerchandiser
Remove,删除,module,Magento_VisualMerchandiser
Grid,网格,module,Magento_VisualMerchandiser
Tile,平铺,module,Magento_VisualMerchandiser
records found,条记录,module,Magento_VisualMerchandiser
per page,每页,module,Magento_VisualMerchandiser
Previous page,上一页,module,Magento_VisualMerchandiser
of %1,%1 的,module,Magento_VisualMerchandiser
Next page,下一页,module,Magento_VisualMerchandiser
Draggable,可拖动,module,Magento_VisualMerchandiser
Close,关闭,module,Magento_VisualMerchandiser
Product image,产品图片,module,Magento_VisualMerchandiser
You can create a rule only to the existing categories.,你可以只对现有的类别创建规则。,module,Magento_VisualMerchandiser
Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.,只有通过规则匹配的产品将出现在该类别后保存。无与伦比的产品和手工分拣将从类别中除去。,module,Magento_VisualMerchandiser
Attribute,属性,module,Magento_VisualMerchandiser
Operator,操作者,module,Magento_VisualMerchandiser
Value,值,module,Magento_VisualMerchandiser
Logic,逻辑,module,Magento_VisualMerchandiser
Add Condition,添加条件,module,Magento_VisualMerchandiser
Delete,删除,module,Magento_VisualMerchandiser
Match products by rule,匹配的产品按规则,module,Magento_VisualMerchandiser
Yes,是,module,Magento_VisualMerchandiser
No,否,module,Magento_VisualMerchandiser
Add Products,添加产品,module,Magento_VisualMerchandiser
Save and Close,保存并关闭,module,Magento_VisualMerchandiser
On,开启,module,Magento_VisualMerchandiser
Off,关闭,module,Magento_VisualMerchandiser
Visual Merchandiser Options,视觉营销选项,module,Magento_VisualMerchandiser
Visual Merchandiser,视觉营销,module,Magento_VisualMerchandiser
General Options,一般选择,module,Magento_VisualMerchandiser
Visible Attributes for Category Rules,对于分类规则可见属性,module,Magento_VisualMerchandiser
Additional attributes usable in category rules,在分类规则可用的附加属性,module,Magento_VisualMerchandiser
Minimum Stock Threshold,最低库存阈值,module,Magento_VisualMerchandiser
Determines which products are 'low stock',确定哪些产品是“低库存”,module,Magento_VisualMerchandiser
Color Attribute Code,颜色属性代码,module,Magento_VisualMerchandiser
Color Order,颜色顺序,module,Magento_VisualMerchandiser
Each color being on a separate row.,每种颜色是在一个单独的行。,module,Magento_VisualMerchandiser
Sort,分类,module,Magento_VisualMerchandiser
Automatic Sorting,自动分拣,module,Magento_VisualMerchandiser
Sort order,排序订单,module,Magento_VisualMerchandiser
Thumbnail,缩略图,module,Magento_VisualMerchandiser
Name,名字,module,Magento_VisualMerchandiser
Price,价格,module,Magento_VisualMerchandiser
SKU,SKU,module,Magento_VisualMerchandiser
Stock,库存,module,Magento_VisualMerchandiser
Consumer is not authorized to access %resources,消费者没有被授权访问 %resources,module,Magento_Webapi
Operation allowed only in HTTPS,只有在HTTPS允许此操作,module,Magento_Webapi
Cannot perform GET operation with store code 'all',不能使用存储代码 'all '来执行 GET 操作,module,Magento_Webapi
Request does not match any route.,请求不匹配任何路径,module,Magento_Webapi
Not allowed parameters: %1. Please use only %2 and %3.,不允许参数: %1。请使用 %2 和 %3。,module,Magento_Webapi
"Requested service is not available: ""%1""","请求的服务是不可用: ""%1""",module,Magento_Webapi
"Operation ""%1"" not found.",未发现操作 %1,module,Magento_Webapi
SOAP extension is not loaded.,SOAP扩展不加载。,module,Magento_Webapi
Invalid XML,无效的 XML,module,Magento_Webapi
Invalid XML: Detected use of illegal DOCTYPE,无效的XML: 发现使用非法 DOCTYPE,module,Magento_Webapi
message,信息,module,Magento_Webapi
Message,信息,module,Magento_Webapi
Soap fault reason.,Soap故障原因。,module,Magento_Webapi
Manage Customers,管理客户,module,Magento_Webapi
Create Customer,创建顾客,module,Magento_Webapi
Edit Customer,编辑客户,module,Magento_Webapi
Get Customer,获得客户,module,Magento_Webapi
Delete Customer,删除客户,module,Magento_Webapi
Magento Web API,Magento网络 API,module,Magento_Webapi
SOAP Settings,SOAP设置,module,Magento_Webapi
Default Response Charset,默认响应字符集,module,Magento_Webapi
"If empty, UTF-8 will be used.","如果为空, 将使用UTF-8。",module,Magento_Webapi
Web Services Configuration,网络服务配置,module,Magento_Webapi
"REST and SOAP configurations, generated WSDL file",REST和SOAP配置，生成的WSDL文件,module,Magento_Webapi
Web API Security,Web API 的安全,module,Magento_WebapiSecurity
Allow Anonymous Guest Access,允许匿名的客户访问,module,Magento_WebapiSecurity
503 Service Unavailable,503服务不可用,module,Magento_WebsiteRestriction
200 OK,200 OK,module,Magento_WebsiteRestriction
Website Closed,网站关闭,module,Magento_WebsiteRestriction
Private Sales: Login Only,私人销售：只有登录,module,Magento_WebsiteRestriction
Private Sales: Login and Register,私人销售：登录和注册,module,Magento_WebsiteRestriction
To login form (302 Found),登录形式（302找到）,module,Magento_WebsiteRestriction
To landing page (302 Found),要着陆页（302找到）,module,Magento_WebsiteRestriction
Access Restriction,访问限制,module,Magento_WebsiteRestriction
Restriction Mode,限制模式,module,Magento_WebsiteRestriction
Startup Page,起始页,module,Magento_WebsiteRestriction
"Applicable only if restriction mode is set to ""Private Sales"".","仅适用，如果限制模式设置为""内部认购""。",module,Magento_WebsiteRestriction
Landing Page,登陆页面,module,Magento_WebsiteRestriction
HTTP Response,HTTP响应,module,Magento_WebsiteRestriction
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.",仅适用，如果限制模式设置为”“网站关闭”“着陆页呈现为原始的HTML。”,module,Magento_WebsiteRestriction
Add Tax,添加杂费,module,Magento_Weee
Delete Tax,删除杂费,module,Magento_Weee
All Websites,所有网站,module,Magento_Weee
FPT,FPT,module,Magento_Weee
You must set unique country-state combinations within the same fixed product tax,您必须在相同的固定产品税内设置独特的国家组合,module,Magento_Weee
Including FPT only,仅包含 FPT,module,Magento_Weee
Including FPT and FPT description,包含 FPT 和 FPT 描述,module,Magento_Weee
Excluding FPT. Including FPT description and final price,不包括张定额罚款告票. 包括张定额罚款告票的说明和最终价格,module,Magento_Weee
Excluding FPT,不包含 FPT,module,Magento_Weee
label_value,标注的值。,module,Magento_Weee
frontend_label,frontend_label,module,Magento_Weee
Fixed Product Tax,固定产品税费,module,Magento_Weee
Country/State,国家/州,module,Magento_Weee
Tax,税,module,Magento_Weee
Website,网站,module,Magento_Weee
Action,操作,module,Magento_Weee
Excl. Tax,不含税,module,Magento_Weee
Total,总额,module,Magento_Weee
Incl. Tax,含税,module,Magento_Weee
Total Incl. Tax,总含税,module,Magento_Weee
Final Price,最终价格,module,Magento_Weee
Fixed Product Taxes,固定产品税,module,Magento_Weee
Enable FPT,激活 FPT,module,Magento_Weee
Display Prices In Product Lists,在产品列表中显示价格,module,Magento_Weee
Display Prices On Product View Page,在产品显示页中显示价格,module,Magento_Weee
Display Prices In Sales Modules,在销售模块中显示价格,module,Magento_Weee
Display Prices In Emails,在邮件中显示价格,module,Magento_Weee
Apply Tax To FPT,商品固定税应用税率,module,Magento_Weee
Include FPT In Subtotal,小计中包含商品固定税,module,Magento_Weee
Widget Insertion,部件插入,module,Magento_Widget
Insert Widget,在,module,Magento_Widget
label,标签,module,Magento_Widget
Choose...,选择...,module,Magento_Widget
Close,关闭,module,Magento_Widget
Not Selected,非所选,module,Magento_Widget
Widget,部件,module,Magento_Widget
Widget Type,部件类型,module,Magento_Widget
-- Please Select --,-- 请选择 --,module,Magento_Widget
Manage Widget Instances,管理小工具实例,module,Magento_Widget
Add Widget,添加部件,module,Magento_Widget
Save and Continue Edit,保存并继续编辑,module,Magento_Widget
"Widget ""%1""","部件 ""%1""",module,Magento_Widget
New Widget Instance,新建小工具实例,module,Magento_Widget
Custom Layouts,自定义布局,module,Magento_Widget
Page Layouts,页面布局,module,Magento_Widget
Please Select Container First,请先选择容器,module,Magento_Widget
Storefront Properties,前台属性,module,Magento_Widget
Type,类型,module,Magento_Widget
Design Package/Theme,设计 包裹/网站模板,module,Magento_Widget
Widget Title,部件标题,module,Magento_Widget
Assign to Store Views,分配到店铺视图,module,Magento_Widget
Sort Order,排序订单,module,Magento_Widget
Sort Order of widget instances in the same container,在同一容器中的小工具实例的排序顺序,module,Magento_Widget
Layout Updates,布局更新,module,Magento_Widget
Categories,分类,module,Magento_Widget
Anchor Categories,锚点分类,module,Magento_Widget
Non-Anchor Categories,非锚点分类,module,Magento_Widget
All Product Types,所有产品类型,module,Magento_Widget
Products,产品,module,Magento_Widget
Generic Pages,通用页面,module,Magento_Widget
All Pages,所有页面,module,Magento_Widget
Specified Page,指定的页面,module,Magento_Widget
Add Layout Update,添加布局更新,module,Magento_Widget
Remove Layout Update,删除布局更新,module,Magento_Widget
Widget Options,小部件选项。,module,Magento_Widget
Settings,设置,module,Magento_Widget
Design Theme,设计网站模板,module,Magento_Widget
Continue,继续,module,Magento_Widget
Please specify a Widget Type.,请指定的小部件类型。,module,Magento_Widget
CMS,CMS,module,Magento_Widget
Please specify a correct widget.,请指定一个正确的小工具,module,Magento_Widget
The widget instance has been deleted.,该小工具实例已被删除。,module,Magento_Widget
New Widget,新建小部件,module,Magento_Widget
Widgets,部件,module,Magento_Widget
The widget instance has been saved.,该小工具实例已被保存。,module,Magento_Widget
name,名字,module,Magento_Widget
description,描述,module,Magento_Widget
We cannot create the widget instance because it is missing required information.,因为缺少所需的信息我们不能创建小工具实例。,module,Magento_Widget
None,无,module,Magento_Widget
%1,%1,module,Magento_Widget
Container,货箱,module,Magento_Widget
Template,模板,module,Magento_Widget
All,全部,module,Magento_Widget
Specific %1,指定的 %1,module,Magento_Widget
Open Chooser,打开选择器,module,Magento_Widget
Apply,应用,module,Magento_Widget
Page,页面,module,Magento_Widget
Orders and Returns,订单与退货,module,Magento_Widget
Orders and Returns Search Form,订单与退货搜索表单,module,Magento_Widget
Anchor Custom Title,自定义标题锚点,module,Magento_Widget
CMS Page Link Block Template,CMS页面链接块模板,module,Magento_Widget
CMS Page Link Inline Template,CMS页面链接内联摸板,module,Magento_Widget
Display a Link to Loading a Spreadsheet,加载的SKU的列表,module,Magento_Widget
Defines whether a link to My Account,定义是否链接到我的帐户,module,Magento_Widget
Link Text,链接文本,module,Magento_Widget
The text of the link to the My Account &gt; Order by SKU page,按SKU页排序文本链接到我的账户 &gt;,module,Magento_Widget
Load a list of SKUs,加载SKU清单,module,Magento_Widget
Product,产品,module,Magento_Widget
Select Product...,选择产品...,module,Magento_Widget
Conditions,条件,module,Magento_Widget
Widget ID,部件 ID,module,Magento_Widget
Wish List,收藏夹,module,Magento_Wishlist
Wish List Sharing,收藏夹共享,module,Magento_Wishlist
My Wish List,我的收藏夹,module,Magento_Wishlist
%1's Wish List,%1 的收藏夹,module,Magento_Wishlist
Page not found.,找不到网页。,module,Magento_Wishlist
We can't specify a product.,我们不能指定一个产品。,module,Magento_Wishlist
We can't add the item to Wish List right now: %1.,我们现在无法把这个产品添加到收藏夹：%1。,module,Magento_Wishlist
We can't add the item to Wish List right now.,我们现在无法把这个产品添加到收藏夹。,module,Magento_Wishlist
You added %1 to your shopping cart.,您已添加%1到您的购物车,module,Magento_Wishlist
This product(s) is out of stock.,该产品缺货,module,Magento_Wishlist
We can't add the item to the cart right now.,我们现在无法把这个产品添加到购物车。,module,Magento_Wishlist
We can't load the Wish List item right now.,我们现在无法加载收藏夹产品。,module,Magento_Wishlist
We can't configure the product right now.,我们现在无法配置产品。,module,Magento_Wishlist
The requested cart item doesn't exist.,请求的购物车产品不存在。,module,Magento_Wishlist
%1 has been moved to your wish list.,%1 已经移动到您的收藏清单。,module,Magento_Wishlist
We can't move the item to the wish list.,我们无法移动产品到收藏夹。,module,Magento_Wishlist
We can't delete the item from Wish List right now because of an error: %1.,我们无法从收藏夹中删除产品，因为错误：%1。,module,Magento_Wishlist
We can't delete the item from the Wish List right now.,我们现在无法从收藏夹中删除产品。,module,Magento_Wishlist
Message length must not exceed %1 symbols,消息长度不能超过% 1符号,module,Magento_Wishlist
Please enter an email address.,请输入电子邮件地址。,module,Magento_Wishlist
This wish list can be shared %1 more times.,这种收藏清单可以共享%1次。,module,Magento_Wishlist
Please enter a valid email address.,请输入有效的电子邮件地址。,module,Magento_Wishlist
Your wish list has been shared.,您的收藏夹已共享,module,Magento_Wishlist
We can't delete item from Wish List right now.,我们无法从现在的列表中删除产品。,module,Magento_Wishlist
Can't save description %1,无法保存描述 %1,module,Magento_Wishlist
Can't update wish list,无法更新收藏,module,Magento_Wishlist
%1 has been updated in your Wish List.,%1 已在您的收藏夹中更新。,module,Magento_Wishlist
